"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2021","Total","Both Sexes","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Final figure, complete","2023","730915","2"
"Australia","2021","Total","Both Sexes","Gold Coast-Tweed Heads","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","671385","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Adelaide","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","1387290","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Adelaide","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","1402393","2"
"Australia","2021","Total","Both Sexes","Greater Brisbane","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","2526238","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Brisbane","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","2568927","2"
"Australia","2021","Total","Both Sexes","Greater Darwin","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","139902","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Darwin","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","148801","2"
"Australia","2021","Total","Both Sexes","Greater Hobart","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","247086","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Hobart","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","251047","2"
"Australia","2021","Total","Both Sexes","Greater Melbourne","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","4917750","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Melbourne","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","4976157","2"
"Australia","2021","Total","Both Sexes","Greater Perth","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","2116647","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Perth","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","2192229","2"
"Australia","2021","Total","Both Sexes","Greater Sydney","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","5231147","3,4,5"
"Australia","2021","Total","Both Sexes","Greater Sydney","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","5259764","2"
"Australia","2021","Total","Both Sexes","Hobart","City proper","Estimate - de jure","Final figure, complete","2023","56084","2"
"Australia","2021","Total","Both Sexes","Hobart","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","197451","3,4,5"
"Australia","2021","Total","Both Sexes","Hobart","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","230353","2"
"Australia","2021","Total","Both Sexes","Melbourne","City proper","Estimate - de jure","Final figure, complete","2023","153674","2"
"Australia","2021","Total","Both Sexes","Melbourne","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","4585537","3,4,5"
"Australia","2021","Total","Both Sexes","Melbourne","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","4875390","2"
